step_number,description,Recipe_name
8,"At this point, you can serve it right away or transfer to an airtight container and refrigerate for up to 3 days, gently rewarming over medium-low heat when you’re ready to serve.
While the bean soup is cooking, preheat the oven to 325°F",Summer Bean Soup With Tomato Brown Butter
9,Cut the bacon into ¼ in,Summer Bean Soup With Tomato Brown Butter
10,lardons; reserve 3 whole beans for garnish and cut the rest into 2 to 3 in,Summer Bean Soup With Tomato Brown Butter
11,"pieces.
In a medium saucepan or Dutch oven, spread the bacon in an even layer and cook over medium-low heat until it starts to turn golden and crisp, about 10 minutes",Summer Bean Soup With Tomato Brown Butter
12,"Use a slotted spoon to remove the pieces but leave the fat behind.
Increase the heat slightly, and sauté the shallots until translucent, 5 to 10 minutes",Summer Bean Soup With Tomato Brown Butter
13,"Stir in the chopped beans, bacon, and red pepper flakes",Summer Bean Soup With Tomato Brown Butter
14,"Cover with a lid or a tight layer of foil and bake until the beans are very soft, 60 to 90 minutes",Summer Bean Soup With Tomato Brown Butter
15,"Stir in the lemon zest, juice, and garlic as soon as the beans come out of the oven and cover again; the residual steam will cook the garlic.
Thinly slice the pickled green beans on the bias",Summer Bean Soup With Tomato Brown Butter
16,"Combine with the cherry tomatoes, oil, and vinegar.
To serve, ladle the bean soup into bowls with a big spoonful of the baked beans on top",Summer Bean Soup With Tomato Brown Butter
17,"Garnish with the pickled green bean mix, a swirl of tomato brown butter, crumbled feta, and torn fresh herbs",Summer Bean Soup With Tomato Brown Butter
18,"Leftovers can all be refrigerated in separate airtight containers, though the green bean salad is best on the day it’s made, when the beans are most crisp and the tomatoes are fresh.
This works for any amount of dense vegetables or dense, underripe fruit, either whole or cut up, such as carrots, turnips, beets, winter squash, onions, green beans, Brussels sprouts, green tomatoes, small apples, underripe peaches, and whole baby cabbages",Summer Bean Soup With Tomato Brown Butter
19,"Peel off any tough skins, such as on beets, winter squash, and onions, and trim the tops",Summer Bean Soup With Tomato Brown Butter
20,Leave the vegetables whole or cut them into the desired finished shape,Summer Bean Soup With Tomato Brown Butter
21,"Place the vegetables in a nonreactive container and pour water to completely submerge them; as you do so, keep track of how much water you’re adding since the amount of water will dictate the amount of salt (generally 3.5 percent salt by weight of the water for most vegetables, although cucumbers can handle 4 to 5 percent and the increased salt assists with keeping their texture crispy)",Summer Bean Soup With Tomato Brown Butter
22,"With a long wooden spoon, stir kosher salt into the brine (or add the salt, cap the jar, and give it a hearty shake) until the salt is dissolved",Summer Bean Soup With Tomato Brown Butter
23,Place a weight on top of the vegetables to keep them submerged in the brine,Summer Bean Soup With Tomato Brown Butter
24,"Seal the container, using a lid with an airlock if you have one",Summer Bean Soup With Tomato Brown Butter
25,"If you don’t have an airlock, you’ll just need to open the container every few days or so to release carbon dioxide buildup and check for mold",Summer Bean Soup With Tomato Brown Butter
26,"Place the container in a clean, low-light area with an ambient temperature of 60°F to 68°F until the pickles taste sour, about 3 weeks",Summer Bean Soup With Tomato Brown Butter
27,Refrigerate indefinitely.,Summer Bean Soup With Tomato Brown Butter
1,"Place the tomato in a blender and purée, then strain through a fine-mesh sieve; you should get about ½ cup (120 ml)",Tomato Brown Butter
2,Add the butter to a large skillet and gently cook over medium heat until it starts to brown and smell nutty,Tomato Brown Butter
3,Stir in the smooth tomato purée (be careful; it might spatter) and simmer for another minute or so,Tomato Brown Butter
4,You’re looking to slightly cook the purée but keep its brightness,Tomato Brown Butter
5,"The mix won’t emulsify, which is fine",Tomato Brown Butter
6,Season with salt and pepper and set aside.,Tomato Brown Butter
1,"Preheat the oven to 350°F.
Place the squash, cut sides up, on a sheet pan",Maple-Roasted Acorn Squash
2,Place ½ tablespoon butter and ½ tablespoon maple syrup in the cavity of each squash,Maple-Roasted Acorn Squash
3,Brush the cut sides with olive oil and sprinkle the squash with 3 teaspoons kosher salt and 1 teaspoon pepper,Maple-Roasted Acorn Squash
4,"Roast for 40 to 60 minutes, depending on the size of the squash, until tender when pierced with a small knife.
Place the squash on a serving platter",Maple-Roasted Acorn Squash
5,"If the halves are too large for one serving, cut each piece in half through the stem",Maple-Roasted Acorn Squash
6,"Drizzle lightly with extra maple syrup, sprinkle with sea salt, and serve hot.
Acorn squash is hard to cut",Maple-Roasted Acorn Squash
7,"To halve a whole squash, plunge the blade of a large chef’s knife into the side of the squash as far as it will go",Maple-Roasted Acorn Squash
8,"Holding the handle of the knife, bang the squash (with the knife in it) on the board until the blade cuts all the way through.",Maple-Roasted Acorn Squash
1,Heat oil in a large nonstick skillet over medium,Coconut-Creamed Corn and Grains
2,"Cook chile, ginger, garlic, and 2 sliced scallions, tossing, until softened and fragrant, about 3 minutes",Coconut-Creamed Corn and Grains
3,"Add turmeric and cook, stirring frequently, just until darkened and fragrant, about 30 seconds",Coconut-Creamed Corn and Grains
4,Add corn and increase heat to medium-high,Coconut-Creamed Corn and Grains
5,"Cook, tossing occasionally, until corn is beginning to lightly brown, about 5 minutes.
Add grains to skillet and cook, tossing often, until heated through and beginning to crisp around the edges, about 2 minutes",Coconut-Creamed Corn and Grains
6,Add ½ cup coconut milk; season with salt,Coconut-Creamed Corn and Grains
7,"Bring to a simmer and cook, adding 1–2 Tbsp",Coconut-Creamed Corn and Grains
8,"water if needed to loosen, until flavors have come together, about 3 minutes.
Divide corn mixture between plates or shallow bowls and drizzle with more coconut milk",Coconut-Creamed Corn and Grains
9,Top with crispy onions and more scallion,Coconut-Creamed Corn and Grains
10,Serve with lime wedges for squeezing over.,Coconut-Creamed Corn and Grains
1,Place a rack in middle of oven; preheat to 475°F,Tomato and Roasted Garlic Pie
2,"Arrange tomatoes on a rimmed baking sheet, covering entire surface (it’s okay if they overlap)",Tomato and Roasted Garlic Pie
3,Drizzle with oil; season with salt and pepper,Tomato and Roasted Garlic Pie
4,"Roast until tomatoes begin to look dry on top, 25–30 minutes",Tomato and Roasted Garlic Pie
5,"Let cool.
Meanwhile, cook garlic and butter in a small saucepan over medium-low heat, swirling often, until butter foams and milk solids turn golden, 5–7 minutes",Tomato and Roasted Garlic Pie
6,Strain garlic butter through a fine-mesh sieve into a heatproof measuring cup; transfer garlic and toasty bits to a cutting board,Tomato and Roasted Garlic Pie
7,"Finely chop and set aside.
Reduce oven temperature to 375°F",Tomato and Roasted Garlic Pie
8,Pulse crackers and ¼ tsp,Tomato and Roasted Garlic Pie
9,salt in a food processor until fine crumbs form (you should have about 2 cups),Tomato and Roasted Garlic Pie
10,Add eggs and 6 Tbsp,Tomato and Roasted Garlic Pie
11,garlic butter and pulse until mixture is the consistency of wet sand; set remaining garlic butter aside,Tomato and Roasted Garlic Pie
12,Transfer to springform pan,Tomato and Roasted Garlic Pie
13,"Using a flat-bottomed measuring cup, press crumbs firmly onto bottom and 1½"" up sides of pan",Tomato and Roasted Garlic Pie
14,"Bake crust until edge is just starting to take on color, 8–10 minutes",Tomato and Roasted Garlic Pie
15,"Transfer pan to a wire rack and let crust cool.
Mix Taleggio, Parmesan, mayonnaise, chopped thyme, remaining ½ tsp",Tomato and Roasted Garlic Pie
16,"salt, remaining ¼ tsp",Tomato and Roasted Garlic Pie
17,"pepper, and reserved chopped garlic in a medium bowl",Tomato and Roasted Garlic Pie
18,"Gently dollop half of cheese mixture over bottom of crust, then spread into an even layer with an offset spatula (don’t press too hard or you will break the crust)",Tomato and Roasted Garlic Pie
19,Layer half of tomato slices over and press down to even out layers,Tomato and Roasted Garlic Pie
20,Repeat with remaining cheese mixture and tomatoes,Tomato and Roasted Garlic Pie
21,Brush remaining garlic butter over tomatoes,Tomato and Roasted Garlic Pie
22,"Top with shallot and thyme leaves.
Set pan on a rimmed baking sheet and bake pie until filling is bubbling vigorously and crust is browned, 60–75 minutes",Tomato and Roasted Garlic Pie
23,"Transfer to rack and let cool 1 hour before serving.
Do Ahead: Pie can be made 1 day ahead",Tomato and Roasted Garlic Pie
24,Cover loosely and chill.,Tomato and Roasted Garlic Pie
1,"Toss scallions, ginger, and garlic in a medium bowl to combine",Paneer With Burst Cherry Tomato Sauce
2,"Using a mortar and pestle or the side of a chef’s knife, coarsely crush coriander seeds and add to vegetables along with cumin seeds, black mustard seeds, chile powder and turmeric; set aside.
Heat 2 Tbsp",Paneer With Burst Cherry Tomato Sauce
3,extra-virgin olive oil in a large skillet over medium-high,Paneer With Burst Cherry Tomato Sauce
4,"Arrange paneer in a single layer in pan and cook until golden brown underneath, about 1 minute",Paneer With Burst Cherry Tomato Sauce
5,"(If paneer is sticking, just give cheese a little more time to brown",Paneer With Burst Cherry Tomato Sauce
6,"It will release from pan once it is sufficiently crisped.) Using a slotted spatula or spoon, transfer paneer to a plate, leaving as much oil behind in pan as possible",Paneer With Burst Cherry Tomato Sauce
7,"Turn browned side up and season generously with salt.
Reduce heat to medium and add remaining 1 Tbsp",Paneer With Burst Cherry Tomato Sauce
8,oil to same skillet,Paneer With Burst Cherry Tomato Sauce
9,"Cook reserved scallion mixture, stirring often, until scallions are wilted and mustard seeds begin to pop, about 2 minutes.
Add tomatoes, sugar snap peas, and 1 cup water to skillet and season with salt",Paneer With Burst Cherry Tomato Sauce
10,Increase heat to medium-high and bring to a simmer,Paneer With Burst Cherry Tomato Sauce
11,"Gently smash each tomato open with a spatula (you just want to break them open a little) and simmer until tomato juices thicken slightly, about 3 minutes (it should still be pretty brothy and light)",Paneer With Burst Cherry Tomato Sauce
12,Taste sauce and add more salt if needed,Paneer With Burst Cherry Tomato Sauce
13,"If your tomatoes aren’t super sweet, you may need to add a pinch of sugar at this point to balance their acidity",Paneer With Burst Cherry Tomato Sauce
14,"Add paneer back to pan and simmer until warmed through.
Remove pan from heat and toss in mint",Paneer With Burst Cherry Tomato Sauce
15,Serve with cooked rice.,Paneer With Burst Cherry Tomato Sauce
1,"Bring chicken, 3 Tbsp",Sesame-Scallion Chicken Salad
2,"kosher salt, and 5 cups water to a bare simmer in a medium pot over medium heat (chicken should be submerged)",Sesame-Scallion Chicken Salad
3,Be patient—this will take a little while,Sesame-Scallion Chicken Salad
4,"Once liquid begins to simmer, reduce heat to low and cook (water should not be simmering at all now) until juices run clear when thickest part of chicken is pierced, 8–10 minutes",Sesame-Scallion Chicken Salad
5,Transfer chicken to a medium bowl; discard poaching liquid,Sesame-Scallion Chicken Salad
6,"Let chicken sit until cool enough to handle, then shred meat into big pieces; set aside.
Meanwhile, place scallions in a small bowl and pour in very cold water to cover; let soak 10 minutes.
Drain scallions in a mesh sieve or colander, then rinse under cold running water, swishing vigorously to rinse and to encourage them to curl up",Sesame-Scallion Chicken Salad
7,"Shake off as much water as possible and place in a large bowl; set aside.
Working one at a time, slice cucumbers in half crosswise, then slice each piece in half lengthwise",Sesame-Scallion Chicken Salad
8,Place quarters cut side down and slice in half lengthwise again to create 8 pieces total per cucumber,Sesame-Scallion Chicken Salad
9,"Add to bowl with reserved chicken.
Set 1 Tbsp",Sesame-Scallion Chicken Salad
10,sesame seeds aside in a small bowl for serving,Sesame-Scallion Chicken Salad
11,"Crush remaining sesame seeds in a mortar and pestle until some of the seeds have turned to powder, but with plenty of whole seeds left",Sesame-Scallion Chicken Salad
12,"(Alternatively, you can pulse seeds a few times in a food processor or spice mill, then transfer to a medium bowl before proceeding)",Sesame-Scallion Chicken Salad
13,"Add lime juice, tahini, soy sauce, honey, and red pepper flakes and mash to create a paste",Sesame-Scallion Chicken Salad
14,"Add ¼ cup water and whisk to combine (if you don’t have a small enough whisk, work in with the pestle)",Sesame-Scallion Chicken Salad
15,"Taste and season with salt.
Add lettuce and cilantro to bowl with reserved scallions",Sesame-Scallion Chicken Salad
16,Pour half of dressing over and toss to coat,Sesame-Scallion Chicken Salad
17,Arrange on a platter,Sesame-Scallion Chicken Salad
18,"Pour remaining dressing over chicken and cucumbers, toss to coat, and arrange over greens",Sesame-Scallion Chicken Salad
19,Top salad with reserved 1 Tbsp,Sesame-Scallion Chicken Salad
20,sesame seeds and squeeze juice from lime half over.,Sesame-Scallion Chicken Salad
1,Heat olive oil in a small saucepan over medium,Maple Barbecue Grilled Chicken
2,"Cook garlic, turning occasionally, until golden brown, about 4 minutes",Maple Barbecue Grilled Chicken
3,"Add tomato paste and cook, stirring constantly and scraping bottom of pan, until slightly darkened, about 3 minutes",Maple Barbecue Grilled Chicken
4,"Add maple syrup, soy sauce, Worcestershire sauce, vinegar, and Sriracha",Maple Barbecue Grilled Chicken
5,"Bring to a boil, then reduce heat to medium-low and simmer until flavors have come together, about 1 minute",Maple Barbecue Grilled Chicken
6,Remove from heat,Maple Barbecue Grilled Chicken
7,"Transfer about half of barbecue sauce to a heatproof bowl and set aside for serving.
Prepare a grill for medium-high indirect heat (for a charcoal grill, bank coals on one side of grill; for a gas grill, leave one or two burners off); oil grate",Maple Barbecue Grilled Chicken
8,Season chicken generously with salt,Maple Barbecue Grilled Chicken
9,"Grill chicken over direct heat, turning every minute, until browned on all sides, about 5 minutes",Maple Barbecue Grilled Chicken
10,Move chicken over indirect heat,Maple Barbecue Grilled Chicken
11,"Cover, positioning vent (if your grill has one) over chicken, and continue to grill, keeping grill covered as much as possible and turning every 5 minutes or so, until an instant-read thermometer inserted into thickest part registers 140°F–145°F, 18–25 minutes depending on the size of the pieces",Maple Barbecue Grilled Chicken
12,"Baste chicken with barbecue sauce and grill, turning and basting occasionally, until an instant-read thermometer inserted into thickest part registers 160°F for breast and 165°F for dark meat, about 10 minutes longer.
Arrange chicken on a platter",Maple Barbecue Grilled Chicken
13,"Serve with reserved barbecue sauce alongside.
Do Ahead: Barbecue sauce can be made 2 weeks ahead",Maple Barbecue Grilled Chicken
14,Transfer to an airtight container; cover and chill.,Maple Barbecue Grilled Chicken
1,"Combine egg yolks, kefir, and 1½ cups dill in a blender; finely grate in 1 garlic clove and blend until smooth",Spiced Lamb and Dill Yogurt Pasta
2,Set purée aside,Spiced Lamb and Dill Yogurt Pasta
3,"Finely chop remaining 1½ cups dill and set aside separately.
Melt butter over medium heat in a large skillet",Spiced Lamb and Dill Yogurt Pasta
4,"Add pine nuts and cook, stirring often, until golden brown, about 2 minutes",Spiced Lamb and Dill Yogurt Pasta
5,"Add dried currants and cook, stirring often, until plump, about 1 minute",Spiced Lamb and Dill Yogurt Pasta
6,"Scrape nut mixture into a small bowl; season with salt.
Wipe out skillet and heat over medium-high",Spiced Lamb and Dill Yogurt Pasta
7,"Stir together cumin, pepper, and 1 tsp",Spiced Lamb and Dill Yogurt Pasta
8,salt in a small bowl,Spiced Lamb and Dill Yogurt Pasta
9,Place lamb in pan and use a sturdy spatula to aggressively flatten (like you’re making smash burgers); sprinkle spice mixture over,Spiced Lamb and Dill Yogurt Pasta
10,"Cook, undisturbed, until lamb is well browned and crisp underneath, about 4 minutes",Spiced Lamb and Dill Yogurt Pasta
11,Hold back meat and drain off all of the fat,Spiced Lamb and Dill Yogurt Pasta
12,Break up meat into small pieces and mix in reserved nut mixture,Spiced Lamb and Dill Yogurt Pasta
13,Finely grate in remaining 2 garlic cloves and add reserved chopped dill,Spiced Lamb and Dill Yogurt Pasta
14,"Cook, stirring, until herbs are wilted, about 1 minute",Spiced Lamb and Dill Yogurt Pasta
15,"Set aside until pasta is ready.
Meanwhile, cook pasta in a large pot of boiling salted water, stirring occasionally, until 1 minute shy of al dente (pasta will finish cooking in the sauce)",Spiced Lamb and Dill Yogurt Pasta
16,"Drain pasta and return to pot.
Pour reserved purée over pasta and set over medium heat",Spiced Lamb and Dill Yogurt Pasta
17,"Cook, stirring constantly, until sauce thickens enough to cling to pasta and just comes to a simmer, about 3 minutes",Spiced Lamb and Dill Yogurt Pasta
18,"Remove from heat; finely grate zest from lemon half over pasta, then squeeze in juice",Spiced Lamb and Dill Yogurt Pasta
19,"Season with salt.
Divide pasta among bowls and top with lamb mixture.",Spiced Lamb and Dill Yogurt Pasta
1,Rinse rice in several changes of cold water in a medium bowl until water runs clear,Salt-and-Pepper Fish
2,"Drain well, then transfer to a small saucepan",Salt-and-Pepper Fish
3,Pour in 1¼ cups cold water and bring to a boil over medium-high heat,Salt-and-Pepper Fish
4,Give rice a stir so grains don’t stick to the bottom,Salt-and-Pepper Fish
5,Cover pot and reduce heat to lowest setting,Salt-and-Pepper Fish
6,"Cook, undisturbed, until water is evaporated and rice is tender, 18–20 minutes",Salt-and-Pepper Fish
7,"Remove from heat and let sit, still covered, 10 minutes.
Meanwhile, trim dark green tops from scallions and thinly slice; set aside",Salt-and-Pepper Fish
8,Thinly slice white and pale green parts of scallions of a deep diagonal,Salt-and-Pepper Fish
9,"Set aside separately.
Mix ginger and 2 Tbsp",Salt-and-Pepper Fish
10,oil in a medium bowl,Salt-and-Pepper Fish
11,Add cod and season with salt and sprinkle all over with pepper,Salt-and-Pepper Fish
12,"Toss to coat.
Heat remaining 1 Tbsp",Salt-and-Pepper Fish
13,oil in a large nonstick skillet over medium-high,Salt-and-Pepper Fish
14,"Cook cod, undisturbed, until golden underneath, about 2 minutes",Salt-and-Pepper Fish
15,Turn over and scatter reserved white and pale green scallion parts on top,Salt-and-Pepper Fish
16,"Cook, shaking the pan a few times, until fish is cooked through and some scallions are caramelized and some are just slightly softened, about 2 minutes",Salt-and-Pepper Fish
17,"Remove from heat.
Stir vinegar and sugar in a small bowl until sugar dissolves",Salt-and-Pepper Fish
18,Mix into rice,Salt-and-Pepper Fish
19,Add butter and reserved dark green scallion tops and gently stir until butter is melted,Salt-and-Pepper Fish
20,"Season with salt.
Transfer rice to a platter and top with fish; pour any pan juices over.",Salt-and-Pepper Fish
